,Positive (1); Neutral (2) Negative (3),comment,,
"&acute;&acute; dude...this time next year sony will have so many games out people will be vomitting sony triple a titles left and right...don&acute;t swweat the load man :) woah, i almost hit my limit in the roflolmao area. that was one of the funniest posts followed up by a kick *** signiture i&acute;ve ever read! [ next to pimperjhones picture of 3,000 cd&acute;s showing how many discs you would need to play mgs4 without blu-ray! ]",1,,,
"wheni get angry at a game it goes like in &acute;levels&acute; it&acute;s something like this : 1)i join the game,i die a couple of times, i don&acute;t say anything 2)i keep dying i start breathing deeply to calm myself down 3)ifi see that im still getting owned badly i would start saying &acute;****&acute; and &acute;****&acute; but not screaming 4)i scream at the pc like a possessed person while cursing more than a sailor 5) rage quit",2,,,
"no definitely through the headset, i dont know tho because i never had the offical headset but regardless, as a real tech geek i know that a bluetooth headset in the year 2008 will have the ability to enable the speakers directly in the bud that goes in your ear. **** that! check the settings, something is wrong in the settings thats all, there is no way in hell should that be normal, nuh-uh, **** that!",3,,,
"&acute;&acute; actually spanking is associated with increased violence in indivuals, on top of lower test scores and higher drop out rates. my dad beat my ass regularly and not only have i never shot anyone or joined a gang, but i&acute;m also the first person in my family this generation to atually graduate high school. i can&acute;t wait to beat my son(s). please don&acute;t have kids. we don&acute;t need you weakening the gene pool any further.",3,,,
"&acute;&acute; it&acute;s the fact that they both died on july 4th of all days that makes it significant to me at least. let your mind unravel, what do you make of it? let&acute;s get a little nutty and conspire, what could you piece together? 2 presidents, 2nd and 3rd, die on the 50th anniversary of the usa, july 4th. seems incredibly coincidental... but what if (and this is where you come in)7 years, 1 month ago",2,,,
"yeah that is a bit odd....game sucks already, they clearly know nothing about the batman comics, story will suck because of this, no one wants to play a 3rd person singleplayer game that doesn't have a decent story. this game will suck bit time if they make some strange mutant story or smt like that.... is that ogre from lotr ? you know nothing of batman if you dont even know who killer kroc is....",3,,,
&acute;&acute; agreed. but there is a lot of racists here.no country can be perfect:p ireland is not a single country. what the? when people say ireland they usualy mean &acute;republic of ireland&acute; not the island it is on and last time i checked ireland is a country... what the hell are you on about..? ireland is a country no it&acute;s not. northern ireland and the republic of ireland are two seperate countries. ireland is an island.,3,,,
"&acute;&acute; yeah. when they do have melody, it&acute;s only on the periphery; it&acute;s not central to the music, so it&acute;s not music. how is it not central to the music? of course it&acute;s not central to the music! rap isn&acute;t fundamentally based on melody! &acute;&acute; thank you for your valuable contribution. :roll: how is rap not based on melody? what the hell is it based on? rhythm? and being based around rhythm makes its not music?",3,,,
"warning!!: i -big_red- am not responsiblefor any emotionally, and/or mentally distress thatyou may feel after watching this video. and that is not limited to, being afraid of trains, and/or their sirons. video discription: this guy ushers this woman along, when a train is coming, and he knows it. buthetricks her by stopping and she keeps on running, and gets hit by the train. then he walks away as if nothing at all has happened. link:http://www.youtube.com/watch?v=eosp1leht1q enjoy.:p",2,,,
[quote=&acute;-big_red-&acute;][quote=&acute;cd_rom&acute;]1. a very handsome fellow. probably about 6 ft. tall. blonde. gave me his number. 2. some kid that works at the kroger. he kept following me around and asking weird questions. 3. this guy had a bulge so big it put a dent in my car door&acute;&acute; whats your sexual orientation? i thought you were straight. i am straight. straight and hard. strange. gay ment seem to be more attracted to you then straight women.,2,,,
"&acute;&acute; :|.... you can see things when you&acute;re invisible. technically if you entire body is invisible, no you would not be able to, because your eye cannot absorb any light. the light would merely pass through your eye and thus rendering you blind. unless, of course you can see higher or lower wavelengths of photons such as the ultraviolet range or infared. the hell are you smokin&acute;? i&acute;ve been invisible, how you gon&acute; argue with me!!?",3,,,
